0610860,Delano Joint Union High,788,Yes
5308280,Sprague School District,2,Yes
0635250,Sanger Unified,419,Yes
0507140,GUY-PERKINS SCHOOL DISTRICT,12,Yes
2102340,Green County,48,Yes
1812150,Wabash City Schools,83,Yes
4838220,ROYSE CITY ISD,354,No
5509630,Lakeland UHS School District,165,Yes
4900131,Merit College Preparatory Academy,27,Yes
0609870,Coronado Unified,565,No
0507920,JESSIEVILLE SCHOOL DISTRICT,26,Yes
4633360,Hill City School District 51-2,23,Yes
2623790,Michigan Center School District,39,Yes
3631380,WHITNEY POINT CENTRAL SCHOOL DISTRICT,53,No
3629880,WAPPINGERS CENTRAL SCHOOL DISTRICT,732,No
4218630,Penn Manor SD,281,No
1740440,CHSD 94,775,Yes
4002880,ALVA,9,Yes
3415330,South Orange-Maplewood School District,828,No
1601860,LEWISTON INDEPENDENT DISTRICT,238,No
2502040,Ashburnham-Westminster,118,No
5603310,Hot Springs County School District #1,7,No
3103330,AUBURN PUBLIC SCHOOLS,17,No
0503960,CARLISLE SCHOOL DISTRICT,42,Yes
4704230,Unicoi County,76,No
3621570,OCEANSIDE UNION FREE SCHOOL DISTRICT,433,No
2629790,River Valley School District,34,Yes
3609720,EAST ISLIP UNION FREE SCHOOL DISTRICT,290,Yes
4113530,Woodburn SD 103,114,Yes
5509750,Mishicot School District,47,No
0632010,Red Bluff Joint Union High,207,Yes
2705460,BIG LAKE PUBLIC SCHOOL DISTRICT,60,Yes
1600930,BONNEVILLE JOINT DISTRICT,162,No
3621210,NORTH SYRACUSE CENTRAL SCHOOL DISTRICT,507,No
3631080,WESTPORT CENTRAL SCHOOL DISTRICT,13,Yes
4825200,KAUFMAN ISD,117,Yes
5500074,Seeds of Health Inc Agency,92,Yes
4701400,Gibson Co Sp Dist,230,No
3629160,TUPPER LAKE CENTRAL SCHOOL DISTRICT,15,Yes
5400900,MINGO COUNTY SCHOOLS,228,No
2917970,LATHROP R-II,58,Yes
0400129,Accelerated Elementary and Secondary Schools,35,No
0607970,Central Unified,492,Yes
0607920,Centinela Valley Union High,1409,Yes
4701740,Hawkins County,64,No
4826340,LA VILLA ISD,86,Yes
4109150,Oakridge SD 76,35,No
4200074,Philadelphia Performing Arts CS,60,Yes
3500150,AZTEC MUNICIPAL SCHOOLS,121,Yes
2612300,Dundee Community Schools,107,Yes
3176590,SHELBY - RISING CITY PUBLIC SCHOOLS,11,No
4209960,Fort Cherry SD,69,Yes
2602520,Allen Park Public Schools,209,No
2103030,Jessamine County,656,Yes
5517070,Wisconsin Rapids School District,223,No
0404060,Kayenta Unified School District #27,35,No
3904414,Ironton City,22,Yes
0605820,Brawley Union High School District,274,Yes
1800960,Brown County Schools,206,Yes
2306510,Hermon Public Schools,58,Yes
3500270,CAPITAN MUNICIPAL SCHOOLS,35,Yes
4702670,Marshall County,257,No
1719320,Hinsdale Twp HSD 86,1125,No
5401470,UPSHUR COUNTY SCHOOLS,104,No
4500960,Bamberg 02,10,No
5517190,Wrightstown Community School District,130,No
4100019,Harrisburg SD 7J,27,No
3410200,Millburn Township School District,537,No
3300003,John Stark Regional School District,90,Yes
4280090,Bucks County Technical High School,50,No
3614220,HERKIMER CENTRAL SCHOOL DISTRICT,31,No
5604510,Natrona County School District #1,172,No
3610590,ELMIRA HEIGHTS CENTRAL SCHOOL DISTRICT,6,No
4111970,Sweet Home SD 55,40,No
3600021,MATTITUCK-CUTCHOGUE UNION FREE SCHOOL DISTRICT,144,No
4813170,CASTLEBERRY ISD,224,Yes
3904820,Anthony Wayne Local,261,No
5515990,Wauwatosa School District,442,Yes
4215830,Moon Area SD,257,No
4838360,RUSK ISD,68,Yes
0506540,GENTRY SCHOOL DISTRICT,32,Yes
1303870,Muscogee County,405,Yes
5401440,TYLER COUNTY SCHOOLS,20,No
3904566,Windham Exempted Village,18,Yes
4827690,LITTLE CYPRESS-MAURICEVILLE CISD,151,No
3600963,UNIVERSITY PREP CHARTER HIGH SCHOOL,70,Yes
3408220,Lakewood Township School District,150,Yes
3622740,PENN YAN CENTRAL SCHOOL DISTRICT,58,Yes
1305130,Trion City,66,No
3409090,Lower Cape May Regional School District,171,Yes
3402670,Camden County Technical School District,118,Yes
3904734,Forest Hills Local,884,No
2011640,Shawnee Mission Pub Sch,670,Yes
4204080,Brownsville Area SD,38,Yes
0507380,HARRISON SCHOOL DISTRICT,78,Yes
1802610,Decatur County Community Schools,137,Yes
2100240,Barbourville Independent,67,Yes
4103840,Culver SD 4,39,No
3621330,NORWICH CITY SCHOOL DISTRICT,56,Yes
1800014,Irvington Community School,47,Yes
3412960,Phillipsburg School District,248,Yes
4702970,Milan,25,No
3600013,ONEIDA CITY SCHOOL DISTRICT,136,Yes
1500030,Hawaii Department of Education,5355,No
4703480,Putnam County,529,No
3417100,Robbinsville Public Schools,310,Yes
2509870,Quincy,402,No
4209270,Ephrata Area SD,177,No
4225740,West Perry SD,53,Yes
5507590,Ladysmith School District,73,Yes
4217670,Northern Lehigh SD,60,Yes
0500049,DEQUEEN SCHOOL DISTRICT,42,Yes
3410440,MONMOUTH REGIONAL HIGH SCHOOL DISTRICT,399,Yes
3703120,Mooresville Graded School District,487,No
0608370,Chico Unified,1071,No
2607800,Capac Community Schools,64,No
2633120,Summerfield Schools,5,Yes
3623460,PORT CHESTER-RYE UNION FREE SCHOOL DISTRICT,242,Yes
5102120,KING WILLIAM CO PBLC SCHS,91,No
3904439,Miamisburg City,206,No
0902220,LITCHFIELD SCHOOL DISTRICT,68,No
1921000,North Tama County Comm School District,5,No
3614280,HERRICKS UNION FREE SCHOOL DISTRICT,749,No
2802160,JACKSON CO SCHOOL DIST,395,No
1809810,Salem Community Schools,101,Yes
3701140,Davidson County Schools,330,Yes
5100240,APPOMATTOX CO PBLC SCHS,70,No
4104500,Eagle Point SD 9,280,No
2302820,Bangor Public Schools,252,Yes
4102040,Bethel SD 52,89,No
1800210,Attica Consolidated School Corp,9,Yes
2104050,Meade County,432,Yes
2500518,Pioneer Charter School of Science (District),39,Yes
3616200,KENDALL CENTRAL SCHOOL DISTRICT,64,Yes
4016170,KELLYVILLE,38,Yes
1811910,Union-North United School Corp,34,Yes
3409990,Metuchen Public School District,293,Yes
0403500,Globe Unified District,3,No
1802850,East Allen County Schools,234,No
4023800,PERKINS-TRYON,28,No
4220100,Red Lion Area SD,169,No
2718330,LUVERNE PUBLIC SCHOOL DISTRICT,34,Yes
1802640,M S D Decatur Township,292,Yes
0405320,Morenci Unified District,15,No
1735970,Indian Creek CUSD 425,37,NA
1000270,Delmar School District,73,No
0638980,Temple City Unified,557,Yes
4502610,Laurens 55,121,No
4824030,HUNTSVILLE ISD,90,No
1200900,HOLMES,25,Yes
4021600,NINNEKAH,28,Yes
2801510,FORREST COUNTY AG HIGH SCHOOL,95,Yes
3612030,GERMANTOWN CENTRAL SCHOOL DISTRICT,6,Yes
0614760,Fullerton Joint Union High School District,2428,Yes
2928260,SIKESTON R-6,128,Yes
0903630,REGIONAL SCHOOL DISTRICT 04,134,Yes
4018270,LONE WOLF,1,Yes
2503390,Central Berkshire,180,No
4700510,Carter County,10,Yes
2603900,Bangor Township Schools,88,No
0901740,GRISWOLD SCHOOL DISTRICT,78,No
0902640,NAUGATUCK SCHOOL DISTRICT,175,No
5102520,MONTGOMERY CO PBLC SCHS,648,No
5515600,Waterford UHS School District,325,Yes
5510060,Mukwonago School District,502,No
0634320,San Diego Unified,7864,Yes
3606720,CATSKILL CENTRAL SCHOOL DISTRICT,50,No
4020280,MOORELAND,2,Yes
5401140,POCAHONTAS COUNTY SCHOOLS,36,No
3623010,PINE BUSH CENTRAL SCHOOL DISTRICT,222,Yes
3904700,Reynoldsburg City,131,Yes
1725000,Massac UD 1,79,Yes
0806090,Pritchett School District No. Re-3,1,Yes
4813260,CELESTE ISD,4,Yes
5604260,Uinta County School District #6,16,No
3416560,UPPER FREEHOLD REGIONAL SCHOOL DISTRICT,295,Yes
0600036,Natomas Unified,248,Yes
5102910,PETERSBURG CITY PBLC SCHS,13,No
5511580,Pepin Area School District,22,Yes
5302400,Edmonds School District,798,No
2608400,Cass City Public Schools,47,Yes
4101710,Baker SD 5J,53,No
0510290,MULBERRY SCHOOL DISTRICT,13,Yes
3600023,SULLIVAN WEST CENTRAL SCHOOL DISTRICT,66,Yes
2400630,Talbot County Public Schools,320,Yes
1734510,Rockford SD 205,1427,Yes
3700093,Thomas Jefferson Classical Academy,169,Yes
0600067,Caruthers Unified,127,Yes
1806630,Milan Community Schools,70,Yes
1720180,Iroquois West CUSD 10,26,Yes
4218510,Parkland SD,688,No
0600158,Turlock Unified,638,No
1740800,Warren Twp HSD 121,1141,Yes
3608460,CORTLAND CITY SCHOOL DISTRICT,110,Yes
2509060,Norwood,308,No
4218580,Penn-Delco SD,249,No
5511970,Port Edwards School District,14,Yes
4819830,FRENSHIP ISD,482,No
4217220,North Hills SD,213,No
1600720,CHALLIS JOINT DISTRICT,1,Yes
2105790,Wayne County,1,No
2604950,Benzie County Central Schools,83,No
3904701,Hilliard City,1425,No
3415900,Summit Public School District,430,Yes
3904963,Northwest Local,11,Yes
4818720,EUSTACE ISD,199,Yes
3626730,SHERMAN CENTRAL SCHOOL DISTRICT,5,Yes
0604230,Bear Valley Unified,167,No
3409950,Area Vocational Technical Schools of Mercer County,27,No
5100780,CHARLOTTESVILLE CTY PBLC SCHS,462,No
3616620,LAKELAND CENTRAL SCHOOL DISTRICT,559,Yes
0500021,IZARD CO. CONS. SCHOOL DIST.,6,Yes
0904230,SOUTHINGTON SCHOOL DISTRICT,394,No
3611940,GENESEO CENTRAL SCHOOL DISTRICT,83,Yes
5512660,Reedsburg School District,144,Yes
4503360,Richland 01,56,Yes
4028590,STERLING,5,Yes
4200843,Olney Charter High School,42,Yes
3303240,Goffstown School District,216,Yes
3411640,NORTH PLAINFIELD SCHOOL DISTRICT,157,Yes
5103240,RICHMOND CITY PBLC SCHS,257,Yes
3407530,Hopewell Valley Regional School District,393,No
4800009,WIMBERLEY ISD,320,No
4501860,Darlington 01,18,No
5513470,Seneca Area School District,13,Yes
2102490,Hardin County,495,Yes
0404720,Maricopa Unified School District,192,Yes
2608280,Caseville Public Schools,12,Yes
4208670,East Stroudsburg Area SD,310,Yes
2309930,Portland Public Schools,441,Yes
3700090,Alexander County Schools,172,Yes
3620850,NIAGARA-WHEATFIELD CENTRAL SCHOOL DISTRICT,330,No
4111670,Springfield SD 19,276,No
1301440,Commerce City,29,No
3623280,PLATTSBURGH CITY SCHOOL DISTRICT,116,No
1201770,ST. LUCIE,1062,Yes
4808580,ARANSAS PASS ISD,33,Yes
0509510,MARVELL SCHOOL DISTRICT,23,Yes
0600018,Mountain Valley Unified,6,Yes
3417280,Wayne Township Public School District,388,Yes
4005520,BROKEN BOW,76,Yes
5305910,Northshore School District,438,Yes
4842300,TEAGUE ISD,82,Yes
1201080,LEE,4806,Yes
3305820,Portsmouth School District,171,Yes
4800139,TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,8,Yes
4009570,DEER CREEK,550,No
3904785,Fredericktown Local,36,No
5003780,Enosburgh Town School District,36,Yes
0600019,Dublin Unified,784,Yes
2611910,Delton Kellogg Schools,91,No
4703600,Robertson County,99,No
4214940,McKeesport Area SD,109,Yes
4809390,BANGS ISD,3,Yes
4700151,Germantown,595,Yes
1903300,Alburnett Comm School District,26,No
2105880,Whitley County,102,Yes
3100115,NORTH BEND CENTRAL PUBLIC SCHS,54,No
2102760,Henry County,2,Yes
2619250,Ionia Public Schools,105,No
2630660,Saline Area Schools,654,No
3601093,MATH ENGINEERING AND SCIENCE ACADEMY CHARTER HIGH SCHOOL,109,Yes
4206840,Cornwall-Lebanon SD,267,No
1302940,Jackson County,222,Yes
1304020,Paulding County,1312,No
3904548,Mechanicsburg Exempted Village,10,No
3620100,MOUNT VERNON SCHOOL DISTRICT,273,Yes
1906510,Cedar Falls Comm School District,322,No
4400270,Cumberland,406,Yes
1809370,West Clark Community Schools,60,Yes
3001740,Absarokee H S,2,Yes
2612600,East Lansing School District,466,Yes
2617250,Gull Lake Community Schools,238,Yes
0200600,Fairbanks North Star Borough School District,1,Yes
3614400,HIGHLAND CENTRAL SCHOOL DISTRICT,267,No
2200720,Iberia Parish,194,Yes
4900750,Park City District,391,No
4816530,DEER PARK ISD,1142,Yes
5506810,Independence School District,4,Yes
0409190,Wickenburg Unified District,38,Yes
1806600,Middlebury Community Schools,74,Yes
5104020,WILLIAMSBURG-JAMES CITY PBLC SCHS,1170,No
3904636,Williamsburg Local,44,No
1600060,AMERICAN FALLS JOINT DISTRICT,181,Yes
4900030,Alpine District,4152,No
2011310,Russell County,13,Yes
2102640,Hart County,79,No
5103330,ROANOKE CO PBLC SCHS,1174,No
3620880,NISKAYUNA CENTRAL SCHOOL DISTRICT,348,No
2500026,City on a Hill Charter Public School Circuit Street (Distric,52,Yes
1202014,FAMU LAB SCH,11,Yes
3017640,Manhattan High School,36,Yes
0601421,Santa Paula Unified School District,314,Yes
4843200,TRINITY ISD,53,Yes
2201080,City of Monroe School District,351,Yes
0603840,Banning Unified,215,Yes
