0610860,Delano Joint Union High,926,Yes
5308280,Sprague School District,9,Yes
4817130,DIME BOX ISD,11,Yes
0102730,Pickens County,194,Yes
0635250,Sanger Unified,728,Yes
0507140,GUY-PERKINS SCHOOL DISTRICT,31,Yes
2102340,Green County,140,Yes
1812150,Wabash City Schools,97,Yes
4838220,ROYSE CITY ISD,533,No
5509630,Lakeland UHS School District,190,Yes
4900131,Merit College Preparatory Academy,127,Yes
0609870,Coronado Unified,432,No
0507920,JESSIEVILLE SCHOOL DISTRICT,72,Yes
4633360,Hill City School District 51-2,29,Yes
3901568,T2 Honors Academy,19,Yes
2623790,Michigan Center School District,117,Yes
4704440,Wayne County,19,Yes
3631380,WHITNEY POINT CENTRAL SCHOOL DISTRICT,30,No
3629880,WAPPINGERS CENTRAL SCHOOL DISTRICT,1062,No
1803570,Flat Rock-Hawcreek School Corp,75,Yes
4218630,Penn Manor SD,527,No
1740440,CHSD 94,599,Yes
1300026,Department of Juvenile Justice,247,Yes
4002880,ALVA,73,Yes
3415330,South Orange-Maplewood School District,805,No
1601860,LEWISTON INDEPENDENT DISTRICT,349,No
2502040,Ashburnham-Westminster,312,No
5603310,Hot Springs County School District #1,43,No
3103330,AUBURN PUBLIC SCHOOLS,83,No
0503960,CARLISLE SCHOOL DISTRICT,49,Yes
4704230,Unicoi County,254,No
3901429,Hardin Community School,17,Yes
3621570,OCEANSIDE UNION FREE SCHOOL DISTRICT,571,No
2629790,River Valley School District,47,Yes
3609720,EAST ISLIP UNION FREE SCHOOL DISTRICT,371,Yes
3901451,Focus North High School,44,Yes
1729420,Oblong CUSD 4,51,Yes
4113530,Woodburn SD 103,304,Yes
4017020,DEER CREEK-LAMONT,7,Yes
5509750,Mishicot School District,54,No
0632010,Red Bluff Joint Union High,441,Yes
2705460,BIG LAKE PUBLIC SCHOOL DISTRICT,362,Yes
1600930,BONNEVILLE JOINT DISTRICT,339,No
3905147,Warren County Vocational School,16,No
3621210,NORTH SYRACUSE CENTRAL SCHOOL DISTRICT,585,No
4825200,KAUFMAN ISD,365,Yes
4801455,KAUFFMAN LEADERSHIP ACADEMY,12,No
3808890,HARVEY 38,24,No
5500074,Seeds of Health Inc Agency,265,Yes
4701400,Gibson Co Sp Dist,349,No
2910520,LAKELAND R-III,27,Yes
3175990,RED CLOUD COMMUNITY SCHOOLS,15,No
3629160,TUPPER LAKE CENTRAL SCHOOL DISTRICT,50,Yes
4648780,Montrose School District 43-2,9,Yes
3022710,Roberts K-12 Schools,9,Yes
5400900,MINGO COUNTY SCHOOLS,342,No
2917970,LATHROP R-II,94,Yes
2616440,Grand Rapids Public Schools,2,No
0400129,Accelerated Elementary and Secondary Schools,28,No
1722130,Red Hill CUSD 10,83,Yes
0607970,Central Unified,1274,Yes
0607920,Centinela Valley Union High,1797,Yes
4701740,Hawkins County,386,No
3100006,WEST POINT PUBLIC SCHOOLS,73,Yes
4826340,LA VILLA ISD,48,Yes
4815540,CRANE ISD,80,Yes
4109150,Oakridge SD 76,64,No
2012600,Victoria,20,Yes
4200074,Philadelphia Performing Arts CS,179,Yes
3500150,AZTEC MUNICIPAL SCHOOLS,320,Yes
2612300,Dundee Community Schools,134,Yes
3176590,SHELBY - RISING CITY PUBLIC SCHOOLS,40,No
4209960,Fort Cherry SD,149,Yes
2602520,Allen Park Public Schools,522,No
2103030,Jessamine County,1354,Yes
2905640,CRAWFORD CO. R-I,72,Yes
5517070,Wisconsin Rapids School District,526,No
0404060,Kayenta Unified School District #27,302,No
3904414,Ironton City,90,Yes
2718810,MAPLE LAKE PUBLIC SCHOOL DISTRICT,89,Yes
0605820,Brawley Union High School District,558,Yes
2306510,Hermon Public Schools,127,Yes
3500270,CAPITAN MUNICIPAL SCHOOLS,32,Yes
4702670,Marshall County,348,No
2607410,Burr Oak Community School District,18,Yes
1719320,Hinsdale Twp HSD 86,752,No
5401470,UPSHUR COUNTY SCHOOLS,318,No
3818660,UNDERWOOD 8,17,Yes
1913290,Grundy Center Comm School District,75,No
4500960,Bamberg 02,40,No
5517190,Wrightstown Community School District,127,No
2200810,Jefferson Davis Parish,415,Yes
4100019,Harrisburg SD 7J,86,No
3410200,Millburn Township School District,328,No
3300003,John Stark Regional School District,149,Yes
4280090,Bucks County Technical High School,337,No
2702930,ALBANY PUBLIC SCHOOL DISTRICT,128,Yes
0802880,Cheraw School District No. 31 in the county of Otero and S,10,Yes
3614220,HERKIMER CENTRAL SCHOOL DISTRICT,84,No
2718270,LITTLEFORK-BIG FALLS SCHOOL DIST.,42,Yes
2906000,LINN CO. R-I,15,Yes
5604510,Natrona County School District #1,1148,No
1707770,Bunker Hill CUSD 8,54,Yes
2804230,TATE CO SCHOOL DIST,89,Yes
3610590,ELMIRA HEIGHTS CENTRAL SCHOOL DISTRICT,65,No
5514850,Three Lakes School District,33,Yes
4111970,Sweet Home SD 55,186,No
3600021,MATTITUCK-CUTCHOGUE UNION FREE SCHOOL DISTRICT,53,No
4813170,CASTLEBERRY ISD,388,Yes
3904820,Anthony Wayne Local,329,No
5515990,Wauwatosa School District,132,Yes
4215830,Moon Area SD,378,No
4838360,RUSK ISD,169,Yes
4837800,ROOSEVELT ISD,77,Yes
0600043,Scotts Valley Unified,418,No
0506540,GENTRY SCHOOL DISTRICT,169,Yes
1303870,Muscogee County,1684,Yes
5401440,TYLER COUNTY SCHOOLS,129,No
3904566,Windham Exempted Village,90,Yes
4827690,LITTLE CYPRESS-MAURICEVILLE CISD,418,No
3700020,Chatham Charter,48,No
3600963,UNIVERSITY PREP CHARTER HIGH SCHOOL,105,Yes
3408220,Lakewood Township School District,446,Yes
3622740,PENN YAN CENTRAL SCHOOL DISTRICT,134,Yes
1305130,Trion City,151,No
4809300,BALLINGER ISD,40,Yes
3177180,SOUTHERN SCHOOL DIST 1,35,No
3409090,Lower Cape May Regional School District,235,Yes
3402670,Camden County Technical School District,492,Yes
3904734,Forest Hills Local,715,No
1915330,Jesup Comm School District,100,Yes
2314767,RSU 74/MSAD 74,54,Yes
2011640,Shawnee Mission Pub Sch,1008,Yes
4204080,Brownsville Area SD,95,Yes
0507380,HARRISON SCHOOL DISTRICT,318,Yes
1802610,Decatur County Community Schools,222,Yes
2100240,Barbourville Independent,97,Yes
4103840,Culver SD 4,52,No
3621330,NORWICH CITY SCHOOL DISTRICT,113,Yes
1800014,Irvington Community School,132,Yes
0615270,Glendora Unified,15,Yes
0400389,Kaizen Education Foundation dba Maya High School,230,No
3412960,Phillipsburg School District,404,Yes
3901378,Everest High School,22,Yes
4702970,Milan,43,No
3600013,ONEIDA CITY SCHOOL DISTRICT,118,Yes
4019080,MARLOW,91,Yes
3500001,VAUGHN MUNICIPAL SCHOOLS,9,Yes
1500030,Hawaii Department of Education,9158,No
4703480,Putnam County,757,No
2700140,HIGHER GROUND ACADEMY,99,Yes
3011460,Frazer H S,21,Yes
3417100,Robbinsville Public Schools,288,Yes
2509870,Quincy,792,No
4209270,Ephrata Area SD,367,No
4225740,West Perry SD,232,Yes
2920820,MIAMI R-I SCHOOL DISTRICT,19,Yes
1731310,Perandoe Spec Educ District,4,No
5507590,Ladysmith School District,117,Yes
4600003,Wilmot School District 54-7,18,Yes
4217670,Northern Lehigh SD,121,Yes
0500049,DEQUEEN SCHOOL DISTRICT,137,Yes
3410440,MONMOUTH REGIONAL HIGH SCHOOL DISTRICT,268,Yes
3703120,Mooresville Graded School District,438,No
5310020,Wishram School District,10,Yes
4029610,TECUMSEH,174,Yes
1910110,East Buchanan Comm School District,87,No
0608370,Chico Unified,1779,No
0408230,Superior Unified School District,36,No
2607800,Capac Community Schools,76,No
2633120,Summerfield Schools,55,Yes
3623460,PORT CHESTER-RYE UNION FREE SCHOOL DISTRICT,400,Yes
5102120,KING WILLIAM CO PBLC SCHS,174,No
3904439,Miamisburg City,530,No
0902220,LITCHFIELD SCHOOL DISTRICT,85,No
1921000,North Tama County Comm School District,40,No
3614280,HERRICKS UNION FREE SCHOOL DISTRICT,412,No
2802160,JACKSON CO SCHOOL DIST,682,No
0400746,Eduprize Schools  LLC,28,No
1809810,Salem Community Schools,208,Yes
3701140,Davidson County Schools,859,Yes
5100240,APPOMATTOX CO PBLC SCHS,181,No
1916620,Lenox Comm School District,36,Yes
3628890,TRI-VALLEY CENTRAL SCHOOL DISTRICT,87,No
4104500,Eagle Point SD 9,277,No
2302820,Bangor Public Schools,356,Yes
4102040,Bethel SD 52,323,No
4000020,FRONTIER,30,No
1800210,Attica Consolidated School Corp,68,Yes
3900286,Cleveland Academy for Scholarship Technology and Leadership,41,Yes
2104050,Meade County,480,Yes
2500518,Pioneer Charter School of Science (District),93,Yes
3616200,KENDALL CENTRAL SCHOOL DISTRICT,9,Yes
4016170,KELLYVILLE,73,Yes
1811910,Union-North United School Corp,98,Yes
2000015,Ottawa,205,Yes
3018900,Moore H S,5,Yes
3409990,Metuchen Public School District,219,Yes
0403500,Globe Unified District,130,No
0200540,Nenana City School District,22,Yes
1800183,Purdue Polytechnic High School Ind,137,Yes
1802850,East Allen County Schools,566,No
4023800,PERKINS-TRYON,169,No
2910350,CROCKER R-II,67,Yes
4220100,Red Lion Area SD,516,No
2718330,LUVERNE PUBLIC SCHOOL DISTRICT,105,Yes
1802640,M S D Decatur Township,677,Yes
2713930,HERON LAKE-OKABENA SCHOOL DISTRICT,22,Yes
0405320,Morenci Unified District,95,No
1735970,Indian Creek CUSD 425,46,NA
1000270,Delmar School District,213,No
0638980,Temple City Unified,511,Yes
2010260,Osawatomie,81,Yes
4502610,Laurens 55,309,No
4824030,HUNTSVILLE ISD,224,No
3800401,PARK RIVER AREA 8,29,No
2922710,NORTH ANDREW CO. R-VI,27,Yes
1200900,HOLMES,267,Yes
5103480,SCOTT CO PBLC SCHS,466,No
4021600,NINNEKAH,28,Yes
2700100,FILLMORE CENTRAL,47,Yes
2801510,FORREST COUNTY AG HIGH SCHOOL,202,Yes
4800063,SOUTHWEST PREPARATORY SCHOOL,122,Yes
3612030,GERMANTOWN CENTRAL SCHOOL DISTRICT,75,Yes
0614760,Fullerton Joint Union High School District,2341,Yes
1600330,BLISS JOINT DISTRICT,10,Yes
2928260,SIKESTON R-6,254,Yes
1601680,KENDRICK JOINT DISTRICT,17,Yes
