0610860,Delano Joint Union High,895,Yes
5308280,Sprague School District,7,Yes
0102730,Pickens County,129,Yes
0635250,Sanger Unified,728,Yes
0507140,GUY-PERKINS SCHOOL DISTRICT,24,Yes
2102340,Green County,139,Yes
1812150,Wabash City Schools,144,Yes
4838220,ROYSE CITY ISD,427,No
5509630,Lakeland UHS School District,125,Yes
4900131,Merit College Preparatory Academy,60,Yes
0609870,Coronado Unified,351,No
0507920,JESSIEVILLE SCHOOL DISTRICT,63,Yes
4633360,Hill City School District 51-2,50,Yes
2623790,Michigan Center School District,95,Yes
4704440,Wayne County,18,Yes
3631380,WHITNEY POINT CENTRAL SCHOOL DISTRICT,61,No
3629880,WAPPINGERS CENTRAL SCHOOL DISTRICT,787,No
1803570,Flat Rock-Hawcreek School Corp,41,Yes
4218630,Penn Manor SD,342,No
1740440,CHSD 94,562,Yes
4002880,ALVA,31,Yes
3415330,South Orange-Maplewood School District,459,No
1601860,LEWISTON INDEPENDENT DISTRICT,161,No
2502040,Ashburnham-Westminster,202,No
5603310,Hot Springs County School District #1,18,No
3103330,AUBURN PUBLIC SCHOOLS,31,No
0503960,CARLISLE SCHOOL DISTRICT,33,Yes
4704230,Unicoi County,232,No
3621570,OCEANSIDE UNION FREE SCHOOL DISTRICT,363,No
2629790,River Valley School District,84,Yes
3609720,EAST ISLIP UNION FREE SCHOOL DISTRICT,295,Yes
3901451,Focus North High School,2,Yes
1729420,Oblong CUSD 4,21,Yes
4113530,Woodburn SD 103,245,Yes
4017020,DEER CREEK-LAMONT,16,Yes
5509750,Mishicot School District,35,No
0632010,Red Bluff Joint Union High,165,Yes
2705460,BIG LAKE PUBLIC SCHOOL DISTRICT,174,Yes
3905147,Warren County Vocational School,230,No
3621210,NORTH SYRACUSE CENTRAL SCHOOL DISTRICT,474,No
3631080,WESTPORT CENTRAL SCHOOL DISTRICT,18,Yes
4825200,KAUFMAN ISD,311,Yes
4801455,KAUFFMAN LEADERSHIP ACADEMY,15,No
3808890,HARVEY 38,21,No
5500074,Seeds of Health Inc Agency,113,Yes
4701400,Gibson Co Sp Dist,286,No
2910520,LAKELAND R-III,18,Yes
3175990,RED CLOUD COMMUNITY SCHOOLS,4,No
3629160,TUPPER LAKE CENTRAL SCHOOL DISTRICT,23,Yes
4648780,Montrose School District 43-2,24,Yes
3022710,Roberts K-12 Schools,11,Yes
5400900,MINGO COUNTY SCHOOLS,147,No
2917970,LATHROP R-II,51,Yes
2616440,Grand Rapids Public Schools,13,No
1722130,Red Hill CUSD 10,48,Yes
0607970,Central Unified,685,Yes
0607920,Centinela Valley Union High,1395,Yes
4701740,Hawkins County,265,No
3100006,WEST POINT PUBLIC SCHOOLS,38,Yes
4826340,LA VILLA ISD,34,Yes
