0610860,Delano Joint Union High,792,Yes
5308280,Sprague School District,7,Yes
4817130,DIME BOX ISD,1,Yes
0102730,Pickens County,107,Yes
0635250,Sanger Unified,162,Yes
0507140,GUY-PERKINS SCHOOL DISTRICT,6,Yes
2102340,Green County,72,Yes
1812150,Wabash City Schools,261,Yes
4838220,ROYSE CITY ISD,165,No
5509630,Lakeland UHS School District,57,Yes
0507920,JESSIEVILLE SCHOOL DISTRICT,28,Yes
4633360,Hill City School District 51-2,9,Yes
2623790,Michigan Center School District,33,Yes
4704440,Wayne County,5,Yes
3631380,WHITNEY POINT CENTRAL SCHOOL DISTRICT,185,No
3629880,WAPPINGERS CENTRAL SCHOOL DISTRICT,962,No
1803570,Flat Rock-Hawcreek School Corp,140,Yes
4218630,Penn Manor SD,40,No
1740440,CHSD 94,253,Yes
1601860,LEWISTON INDEPENDENT DISTRICT,384,No
2502040,Ashburnham-Westminster,8,No
5603310,Hot Springs County School District #1,34,No
3103330,AUBURN PUBLIC SCHOOLS,19,No
0503960,CARLISLE SCHOOL DISTRICT,15,Yes
4704230,Unicoi County,65,No
3621570,OCEANSIDE UNION FREE SCHOOL DISTRICT,489,No
2629790,River Valley School District,18,Yes
3609720,EAST ISLIP UNION FREE SCHOOL DISTRICT,451,Yes
1729420,Oblong CUSD 4,46,Yes
4017020,DEER CREEK-LAMONT,3,Yes
5509750,Mishicot School District,201,No
1600930,BONNEVILLE JOINT DISTRICT,210,No
3905147,Warren County Vocational School,649,No
3621210,NORTH SYRACUSE CENTRAL SCHOOL DISTRICT,557,No
3631080,WESTPORT CENTRAL SCHOOL DISTRICT,18,Yes
4825200,KAUFMAN ISD,132,Yes
4801455,KAUFFMAN LEADERSHIP ACADEMY,4,No
3808890,HARVEY 38,23,No
5500074,Seeds of Health Inc Agency,35,Yes
4701400,Gibson Co Sp Dist,162,No
2910520,LAKELAND R-III,21,Yes
3175990,RED CLOUD COMMUNITY SCHOOLS,2,No
3629160,TUPPER LAKE CENTRAL SCHOOL DISTRICT,51,Yes
4648780,Montrose School District 43-2,5,Yes
3022710,Roberts K-12 Schools,2,Yes
5400900,MINGO COUNTY SCHOOLS,31,No
2917970,LATHROP R-II,33,Yes
1722130,Red Hill CUSD 10,99,Yes
0607970,Central Unified,49,Yes
0607920,Centinela Valley Union High,372,Yes
4701740,Hawkins County,311,No
3100006,WEST POINT PUBLIC SCHOOLS,90,Yes
4815540,CRANE ISD,70,Yes
4109150,Oakridge SD 76,76,No
2012600,Victoria,38,Yes
4200074,Philadelphia Performing Arts CS,23,Yes
3500150,AZTEC MUNICIPAL SCHOOLS,139,Yes
2612300,Dundee Community Schools,65,Yes
3176590,SHELBY - RISING CITY PUBLIC SCHOOLS,10,No
2602520,Allen Park Public Schools,26,No
2103030,Jessamine County,349,Yes
5517070,Wisconsin Rapids School District,195,No
0404060,Kayenta Unified School District #27,11,No
3904414,Ironton City,32,Yes
2718810,MAPLE LAKE PUBLIC SCHOOL DISTRICT,87,Yes
1800960,Brown County Schools,99,Yes
2306510,Hermon Public Schools,48,Yes
3500270,CAPITAN MUNICIPAL SCHOOLS,3,Yes
4702670,Marshall County,166,No
2607410,Burr Oak Community School District,13,Yes
1719320,Hinsdale Twp HSD 86,259,No
5401470,UPSHUR COUNTY SCHOOLS,23,No
3818660,UNDERWOOD 8,3,Yes
1913290,Grundy Center Comm School District,49,No
4500960,Bamberg 02,34,No
5517190,Wrightstown Community School District,198,No
2200810,Jefferson Davis Parish,212,Yes
3300003,John Stark Regional School District,99,Yes
4280090,Bucks County Technical High School,54,No
2702930,ALBANY PUBLIC SCHOOL DISTRICT,133,Yes
3614220,HERKIMER CENTRAL SCHOOL DISTRICT,12,No
2718270,LITTLEFORK-BIG FALLS SCHOOL DIST.,15,Yes
2906000,LINN CO. R-I,12,Yes
5604510,Natrona County School District #1,502,No
1707770,Bunker Hill CUSD 8,115,Yes
2804230,TATE CO SCHOOL DIST,58,Yes
5514850,Three Lakes School District,41,Yes
3600021,MATTITUCK-CUTCHOGUE UNION FREE SCHOOL DISTRICT,34,No
4813170,CASTLEBERRY ISD,104,Yes
3904820,Anthony Wayne Local,78,No
5515990,Wauwatosa School District,140,Yes
4215830,Moon Area SD,118,No
4838360,RUSK ISD,114,Yes
4837800,ROOSEVELT ISD,34,Yes
0506540,GENTRY SCHOOL DISTRICT,36,Yes
1303870,Muscogee County,140,Yes
5401440,TYLER COUNTY SCHOOLS,36,No
3904566,Windham Exempted Village,2,Yes
4827690,LITTLE CYPRESS-MAURICEVILLE CISD,194,No
3700020,Chatham Charter,84,No
3011650,Fromberg K-12,4,Yes
3622740,PENN YAN CENTRAL SCHOOL DISTRICT,120,Yes
1305130,Trion City,78,No
4809300,BALLINGER ISD,17,Yes
3177180,SOUTHERN SCHOOL DIST 1,14,No
3409090,Lower Cape May Regional School District,430,Yes
3402670,Camden County Technical School District,150,Yes
3904734,Forest Hills Local,163,No
1915330,Jesup Comm School District,41,Yes
2314767,RSU 74/MSAD 74,21,Yes
2011640,Shawnee Mission Pub Sch,180,Yes
0507380,HARRISON SCHOOL DISTRICT,115,Yes
1802610,Decatur County Community Schools,668,Yes
2100240,Barbourville Independent,50,Yes
4103840,Culver SD 4,31,No
1800014,Irvington Community School,43,Yes
3412960,Phillipsburg School District,549,Yes
4702970,Milan,218,No
3600013,ONEIDA CITY SCHOOL DISTRICT,112,Yes
3500001,VAUGHN MUNICIPAL SCHOOLS,4,Yes
1500030,Hawaii Department of Education,1059,No
4703480,Putnam County,357,No
2700140,HIGHER GROUND ACADEMY,31,Yes
3011460,Frazer H S,4,Yes
3417100,Robbinsville Public Schools,30,Yes
2509870,Quincy,85,No
4209270,Ephrata Area SD,32,No
4225740,West Perry SD,16,Yes
2920820,MIAMI R-I SCHOOL DISTRICT,5,Yes
5507590,Ladysmith School District,103,Yes
4600003,Wilmot School District 54-7,16,Yes
4217670,Northern Lehigh SD,67,Yes
0500049,DEQUEEN SCHOOL DISTRICT,173,Yes
3410440,MONMOUTH REGIONAL HIGH SCHOOL DISTRICT,243,Yes
3703120,Mooresville Graded School District,164,No
5310020,Wishram School District,1,Yes
4029610,TECUMSEH,20,Yes
1910110,East Buchanan Comm School District,36,No
2607800,Capac Community Schools,7,No
2633120,Summerfield Schools,12,Yes
5102120,KING WILLIAM CO PBLC SCHS,141,No
3904439,Miamisburg City,143,No
1921000,North Tama County Comm School District,5,No
2802160,JACKSON CO SCHOOL DIST,339,No
0400746,Eduprize Schools  LLC,46,No
1809810,Salem Community Schools,140,Yes
3701140,Davidson County Schools,405,Yes
5100240,APPOMATTOX CO PBLC SCHS,93,No
1916620,Lenox Comm School District,46,Yes
4104500,Eagle Point SD 9,12,No
2302820,Bangor Public Schools,71,Yes
4102040,Bethel SD 52,137,No
4000020,FRONTIER,13,No
1800210,Attica Consolidated School Corp,176,Yes
2104050,Meade County,115,Yes
2500518,Pioneer Charter School of Science (District),14,Yes
3616200,KENDALL CENTRAL SCHOOL DISTRICT,55,Yes
4016170,KELLYVILLE,12,Yes
1811910,Union-North United School Corp,101,Yes
2000015,Ottawa,75,Yes
0403500,Globe Unified District,534,No
1802850,East Allen County Schools,259,No
4023800,PERKINS-TRYON,35,No
4220100,Red Lion Area SD,23,No
2718330,LUVERNE PUBLIC SCHOOL DISTRICT,155,Yes
1802640,M S D Decatur Township,285,Yes
2713930,HERON LAKE-OKABENA SCHOOL DISTRICT,22,Yes
0405320,Morenci Unified District,72,No
1735970,Indian Creek CUSD 425,18,NA
1000270,Delmar School District,81,No
2010260,Osawatomie,66,Yes
4502610,Laurens 55,151,No
4824030,HUNTSVILLE ISD,11,No
3800401,PARK RIVER AREA 8,30,No
2922710,NORTH ANDREW CO. R-VI,15,Yes
1200900,HOLMES,108,Yes
5103480,SCOTT CO PBLC SCHS,258,No
4021600,NINNEKAH,7,Yes
2700100,FILLMORE CENTRAL,60,Yes
2801510,FORREST COUNTY AG HIGH SCHOOL,25,Yes
4800063,SOUTHWEST PREPARATORY SCHOOL,11,Yes
3612030,GERMANTOWN CENTRAL SCHOOL DISTRICT,25,Yes
0614760,Fullerton Joint Union High School District,298,Yes
2928260,SIKESTON R-6,60,Yes
1601680,KENDRICK JOINT DISTRICT,30,Yes
2715000,INTERNATIONAL FALLS SCHOOL DISTRICT,105,Yes
0903630,REGIONAL SCHOOL DISTRICT 04,93,Yes
4018270,LONE WOLF,1,Yes
4823160,HIGH ISLAND ISD,15,Yes
4700510,Carter County,122,Yes
2006580,Goodland,47,Yes
3500117,CESAR CHAVEZ COMMUNITY  SCHOOL,19,Yes
2603900,Bangor Township Schools,16,No
0901740,GRISWOLD SCHOOL DISTRICT,130,No
2740860,UPSALA PUBLIC SCHOOL DISTRICT,49,Yes
5102520,MONTGOMERY CO PBLC SCHS,783,No
5515600,Waterford UHS School District,333,Yes
5510060,Mukwonago School District,294,No
0634320,San Diego Unified,2558,Yes
3606720,CATSKILL CENTRAL SCHOOL DISTRICT,41,No
4020280,MOORELAND,12,Yes
5401140,POCAHONTAS COUNTY SCHOOLS,26,No
3623010,PINE BUSH CENTRAL SCHOOL DISTRICT,290,Yes
3904700,Reynoldsburg City,659,Yes
1725000,Massac UD 1,96,Yes
1305640,Wheeler County,30,Yes
0806090,Pritchett School District No. Re-3,1,Yes
4813260,CELESTE ISD,30,Yes
3900383,Oakstone Community School,1,No
5514820,Thorp School District,86,Yes
3416560,UPPER FREEHOLD REGIONAL SCHOOL DISTRICT,1,Yes
0600036,Natomas Unified,7,Yes
5102910,PETERSBURG CITY PBLC SCHS,43,No
3901577,Tri-State STEM+M Early College High School,27,No
5302400,Edmonds School District,2488,No
3100034,ASHLAND-GREENWOOD PUBLIC SCHS,57,No
2608400,Cass City Public Schools,21,Yes
2600014,Ewen-Trout Creek Consolidated School District,3,Yes
4101710,Baker SD 5J,518,No
2803810,QUITMAN CO SCHOOL DIST,31,Yes
0510290,MULBERRY SCHOOL DISTRICT,6,Yes
3600023,SULLIVAN WEST CENTRAL SCHOOL DISTRICT,45,Yes
0400329,American Virtual Academy,7,No
3011420,Frazer Elem,8,Yes
2400630,Talbot County Public Schools,58,Yes
1734510,Rockford SD 205,354,Yes
3700093,Thomas Jefferson Classical Academy,55,Yes
3904468,Ravenna City,36,Yes
1806630,Milan Community Schools,213,Yes
2700363,UBAH MEDICAL ACADEMY CHARTER SCHOOL,24,Yes
1720180,Iroquois West CUSD 10,33,Yes
4218510,Parkland SD,1588,No
2929250,ST. JAMES R-I,61,Yes
3608460,CORTLAND CITY SCHOOL DISTRICT,228,Yes
3800056,FORDVILLE-LANKIN 5,3,No
5303000,Garfield School District,7,Yes
3904651,Colonel Crawford Local,38,No
2010500,Paola,175,No
2636240,Whitefish Township Schools,1,Yes
5511970,Port Edwards School District,7,Yes
4819830,FRENSHIP ISD,670,No
4217220,North Hills SD,311,No
4808520,AQUILLA ISD,15,Yes
2604950,Benzie County Central Schools,18,No
3904701,Hilliard City,94,No
3904963,Northwest Local,18,Yes
4818720,EUSTACE ISD,65,Yes
1903450,North Butler Comm School District,6,No
3171520,HARTINGTON NEWCASTLE PUBLIC SCHOOLS,14,No
3409950,Area Vocational Technical Schools of Mercer County,83,No
5100780,CHARLOTTESVILLE CTY PBLC SCHS,125,No
3616620,LAKELAND CENTRAL SCHOOL DISTRICT,204,Yes
3100134,WILCOX-HILDRETH PUBLIC SCHOOLS,3,No
3100003,EAST BUTLER PUBLIC SCHOOLS,17,No
0500021,IZARD CO. CONS. SCHOOL DIST.,3,Yes
0904230,SOUTHINGTON SCHOOL DISTRICT,253,No
0803120,Fremont RE-3,20,Yes
3611940,GENESEO CENTRAL SCHOOL DISTRICT,53,Yes
5512660,Reedsburg School District,187,Yes
1906660,Center Point-Urbana Comm School District,46,No
4503360,Richland 01,33,Yes
3304290,Lisbon Regional School District,13,Yes
4028590,STERLING,11,Yes
1912330,Garner-Hayfield-Ventura Comm School District,17,No
3303240,Goffstown School District,63,Yes
3411640,NORTH PLAINFIELD SCHOOL DISTRICT,11,Yes
5103240,RICHMOND CITY PBLC SCHS,41,Yes
0802760,Campo School District No. Re-6,2,No
4800009,WIMBERLEY ISD,126,No
4501860,Darlington 01,204,No
5513470,Seneca Area School District,3,Yes
2102490,Hardin County,737,Yes
0404720,Maricopa Unified School District,28,Yes
2309930,Portland Public Schools,235,Yes
3700090,Alexander County Schools,219,Yes
3620850,NIAGARA-WHEATFIELD CENTRAL SCHOOL DISTRICT,300,No
4111670,Springfield SD 19,1005,No
1301440,Commerce City,9,No
1700015,Joppa-Maple Grove UD 38,4,Yes
1201770,ST. LUCIE,1371,Yes
