0610860,Delano Joint Union High,1138,Yes
5308280,Sprague School District,8,Yes
0102730,Pickens County,180,Yes
0635250,Sanger Unified,977,Yes
0507140,GUY-PERKINS SCHOOL DISTRICT,27,Yes
2102340,Green County,134,Yes
1812150,Wabash City Schools,97,Yes
4838220,ROYSE CITY ISD,465,No
5509630,Lakeland UHS School District,199,Yes
4900131,Merit College Preparatory Academy,86,Yes
0609870,Coronado Unified,283,No
0507920,JESSIEVILLE SCHOOL DISTRICT,81,Yes
4633360,Hill City School District 51-2,36,Yes
3901568,T2 Honors Academy,25,Yes
2623790,Michigan Center School District,116,Yes
4704440,Wayne County,20,Yes
3631380,WHITNEY POINT CENTRAL SCHOOL DISTRICT,51,No
3629880,WAPPINGERS CENTRAL SCHOOL DISTRICT,765,No
1803570,Flat Rock-Hawcreek School Corp,59,Yes
4218630,Penn Manor SD,273,No
1740440,CHSD 94,496,Yes
1300026,Department of Juvenile Justice,195,Yes
4002880,ALVA,60,Yes
3415330,South Orange-Maplewood School District,441,No
1601860,LEWISTON INDEPENDENT DISTRICT,254,No
2502040,Ashburnham-Westminster,257,No
5603310,Hot Springs County School District #1,58,No
3103330,AUBURN PUBLIC SCHOOLS,65,No
0503960,CARLISLE SCHOOL DISTRICT,51,Yes
4704230,Unicoi County,220,No
3901429,Hardin Community School,8,Yes
3621570,OCEANSIDE UNION FREE SCHOOL DISTRICT,528,No
2629790,River Valley School District,52,Yes
5305790,North Mason School District,3,No
3609720,EAST ISLIP UNION FREE SCHOOL DISTRICT,344,Yes
3901451,Focus North High School,62,Yes
1729420,Oblong CUSD 4,51,Yes
4113530,Woodburn SD 103,388,Yes
4017020,DEER CREEK-LAMONT,6,Yes
5509750,Mishicot School District,51,No
0632010,Red Bluff Joint Union High,366,Yes
2705460,BIG LAKE PUBLIC SCHOOL DISTRICT,247,Yes
1600930,BONNEVILLE JOINT DISTRICT,456,No
3905147,Warren County Vocational School,53,No
3621210,NORTH SYRACUSE CENTRAL SCHOOL DISTRICT,484,No
3631080,WESTPORT CENTRAL SCHOOL DISTRICT,17,Yes
4825200,KAUFMAN ISD,312,Yes
4801455,KAUFFMAN LEADERSHIP ACADEMY,16,No
3808890,HARVEY 38,16,No
5500074,Seeds of Health Inc Agency,108,Yes
4701400,Gibson Co Sp Dist,310,No
2910520,LAKELAND R-III,26,Yes
3175990,RED CLOUD COMMUNITY SCHOOLS,10,No
3629160,TUPPER LAKE CENTRAL SCHOOL DISTRICT,29,Yes
4648780,Montrose School District 43-2,14,Yes
3022710,Roberts K-12 Schools,12,Yes
5400900,MINGO COUNTY SCHOOLS,257,No
2917970,LATHROP R-II,10,Yes
2616440,Grand Rapids Public Schools,3,No
1722130,Red Hill CUSD 10,40,Yes
0607970,Central Unified,1164,Yes
0607920,Centinela Valley Union High,1949,Yes
4701740,Hawkins County,296,No
3100006,WEST POINT PUBLIC SCHOOLS,44,Yes
4826340,LA VILLA ISD,19,Yes
4815540,CRANE ISD,94,Yes
4109150,Oakridge SD 76,26,No
2012600,Victoria,24,Yes
4200074,Philadelphia Performing Arts CS,143,Yes
3500150,AZTEC MUNICIPAL SCHOOLS,227,Yes
2612300,Dundee Community Schools,177,Yes
3176590,SHELBY - RISING CITY PUBLIC SCHOOLS,26,No
4209960,Fort Cherry SD,77,Yes
2602520,Allen Park Public Schools,319,No
2103030,Jessamine County,607,Yes
2905640,CRAWFORD CO. R-I,66,Yes
5517070,Wisconsin Rapids School District,360,No
0404060,Kayenta Unified School District #27,198,No
3904414,Ironton City,87,Yes
2718810,MAPLE LAKE PUBLIC SCHOOL DISTRICT,54,Yes
0605820,Brawley Union High School District,453,Yes
1800960,Brown County Schools,150,Yes
2306510,Hermon Public Schools,103,Yes
3500270,CAPITAN MUNICIPAL SCHOOLS,48,Yes
4702670,Marshall County,144,No
2607410,Burr Oak Community School District,16,Yes
1719320,Hinsdale Twp HSD 86,595,No
5401470,UPSHUR COUNTY SCHOOLS,250,No
3818660,UNDERWOOD 8,18,Yes
1913290,Grundy Center Comm School District,54,No
4500960,Bamberg 02,29,No
5517190,Wrightstown Community School District,108,No
2200810,Jefferson Davis Parish,284,Yes
4100019,Harrisburg SD 7J,45,No
3410200,Millburn Township School District,335,No
3300003,John Stark Regional School District,247,Yes
4280090,Bucks County Technical High School,302,No
2702930,ALBANY PUBLIC SCHOOL DISTRICT,141,Yes
0802880,Cheraw School District No. 31 in the county of Otero and S,7,Yes
3614220,HERKIMER CENTRAL SCHOOL DISTRICT,40,No
2718270,LITTLEFORK-BIG FALLS SCHOOL DIST.,26,Yes
2906000,LINN CO. R-I,9,Yes
5604510,Natrona County School District #1,984,No
1707770,Bunker Hill CUSD 8,25,Yes
2804230,TATE CO SCHOOL DIST,77,Yes
3610590,ELMIRA HEIGHTS CENTRAL SCHOOL DISTRICT,62,No
5514850,Three Lakes School District,26,Yes
4111970,Sweet Home SD 55,169,No
3600021,MATTITUCK-CUTCHOGUE UNION FREE SCHOOL DISTRICT,90,No
4813170,CASTLEBERRY ISD,340,Yes
3904820,Anthony Wayne Local,323,No
5515990,Wauwatosa School District,263,Yes
4215830,Moon Area SD,250,No
4838360,RUSK ISD,182,Yes
4837800,ROOSEVELT ISD,67,Yes
0600043,Scotts Valley Unified,172,No
0506540,GENTRY SCHOOL DISTRICT,26,Yes
1303870,Muscogee County,1425,Yes
5401440,TYLER COUNTY SCHOOLS,99,No
3904566,Windham Exempted Village,44,Yes
4827690,LITTLE CYPRESS-MAURICEVILLE CISD,240,No
3700020,Chatham Charter,50,No
3600963,UNIVERSITY PREP CHARTER HIGH SCHOOL,113,Yes
3408220,Lakewood Township School District,252,Yes
3622740,PENN YAN CENTRAL SCHOOL DISTRICT,66,Yes
1305130,Trion City,117,No
4809300,BALLINGER ISD,14,Yes
3177180,SOUTHERN SCHOOL DIST 1,32,No
3409090,Lower Cape May Regional School District,208,Yes
3402670,Camden County Technical School District,505,Yes
3904734,Forest Hills Local,427,No
1915330,Jesup Comm School District,54,Yes
2314767,RSU 74/MSAD 74,27,Yes
2011640,Shawnee Mission Pub Sch,857,Yes
4204080,Brownsville Area SD,46,Yes
0507380,HARRISON SCHOOL DISTRICT,137,Yes
1802610,Decatur County Community Schools,218,Yes
