4817130,DIME BOX ISD,2,Yes
0102730,Pickens County,18,Yes
0635250,Sanger Unified,5,Yes
0507140,GUY-PERKINS SCHOOL DISTRICT,6,Yes
2102340,Green County,52,Yes
1812150,Wabash City Schools,37,Yes
4838220,ROYSE CITY ISD,52,No
1713260,East Prairie SD 73,2,Yes
4108160,Milton-Freewater Unified SD 7,34,Yes
0609870,Coronado Unified,9,No
1919200,Midland Comm School District,4,Yes
0507920,JESSIEVILLE SCHOOL DISTRICT,3,Yes
0400948,Legacy Traditional School - Glendale,8,Yes
2623790,Michigan Center School District,2,Yes
0613170,Evergreen Union,3,Yes
4704440,Wayne County,6,Yes
3631380,WHITNEY POINT CENTRAL SCHOOL DISTRICT,9,No
3629880,WAPPINGERS CENTRAL SCHOOL DISTRICT,168,No
1803570,Flat Rock-Hawcreek School Corp,34,Yes
4700120,Athens,18,Yes
4218630,Penn Manor SD,19,No
1740440,CHSD 94,73,Yes
5100450,BRISTOL CITY PBLC SCHS,12,Yes
2314700,RSU 60/MSAD 60,31,No
4002880,ALVA,2,Yes
3415330,South Orange-Maplewood School District,10,No
1601860,LEWISTON INDEPENDENT DISTRICT,4,No
2502040,Ashburnham-Westminster,25,No
5603310,Hot Springs County School District #1,14,No
3103330,AUBURN PUBLIC SCHOOLS,2,No
0503960,CARLISLE SCHOOL DISTRICT,17,Yes
4704230,Unicoi County,45,No
3621570,OCEANSIDE UNION FREE SCHOOL DISTRICT,27,No
2629790,River Valley School District,15,Yes
3609720,EAST ISLIP UNION FREE SCHOOL DISTRICT,21,Yes
3904475,Shaker Heights City,4,Yes
1729420,Oblong CUSD 4,2,Yes
4113530,Woodburn SD 103,75,Yes
0901740,GRISWOLD SCHOOL DISTRICT,11,Yes
5509750,Mishicot School District,2,No
0632010,Red Bluff Joint Union High,7,Yes
2705460,BIG LAKE PUBLIC SCHOOL DISTRICT,12,Yes
1600930,BONNEVILLE JOINT DISTRICT,3,No
3905147,Warren County Vocational School,27,No
3621210,NORTH SYRACUSE CENTRAL SCHOOL DISTRICT,32,No
3416080,Teaneck School District,30,Yes
4825200,KAUFMAN ISD,154,Yes
4801455,KAUFFMAN LEADERSHIP ACADEMY,1,No
5504800,Fox Point J2 School District,1,Yes
4701400,Gibson Co Sp Dist,15,No
2910520,LAKELAND R-III,2,Yes
3629160,TUPPER LAKE CENTRAL SCHOOL DISTRICT,22,Yes
5400900,MINGO COUNTY SCHOOLS,20,No
2917970,LATHROP R-II,3,Yes
1722130,Red Hill CUSD 10,13,Yes
3901581,Village Preparatory School Willard,5,Yes
0607970,Central Unified,139,Yes
4701740,Hawkins County,75,No
3100006,WEST POINT PUBLIC SCHOOLS,7,Yes
4826340,LA VILLA ISD,12,Yes
5509690,Minocqua J1 School District,4,Yes
4815540,CRANE ISD,10,Yes
4109150,Oakridge SD 76,8,No
5513230,Saint Croix Falls School District,5,Yes
3400730,Newark Educators Community Charter School,4,Yes
3173590,MEAD PUBLIC SCHOOLS,1,Yes
4200074,Philadelphia Performing Arts CS,7,Yes
3500150,AZTEC MUNICIPAL SCHOOLS,91,Yes
2612300,Dundee Community Schools,3,Yes
3176590,SHELBY - RISING CITY PUBLIC SCHOOLS,2,No
3100071,TEKAMAH-HERMAN COMMUNITY SCHS,3,Yes
4900870,Salt Lake City School District,17,Yes
4209960,Fort Cherry SD,9,Yes
3800038,DICKINSON 1,20,Yes
2602520,Allen Park Public Schools,50,No
2103030,Jessamine County,60,Yes
3100021,WAVERLY SCHOOL DISTRICT 145,1,Yes
2905640,CRAWFORD CO. R-I,52,Yes
5517070,Wisconsin Rapids School District,79,No
1302130,Fayette County,8,NA
4900192,Treeside Charter School,1,Yes
2715510,ISLE PUBLIC SCHOOL DISTRICT,2,NA
0404060,Kayenta Unified School District #27,8,No
3417070,Washington Township School District,25,Yes
3904414,Ironton City,6,Yes
3609090,JAMESVILLE-DEWITT CENTRAL SCHOOL DISTRICT,2,Yes
2718810,MAPLE LAKE PUBLIC SCHOOL DISTRICT,8,Yes
0605820,Brawley Union High School District,7,Yes
2507050,Ludlow,4,Yes
1800960,Brown County Schools,14,Yes
5100210,AMHERST CO PBLC SCHS,14,Yes
2306510,Hermon Public Schools,12,Yes
