0610860,Delano Joint Union High,627,Yes
5308280,Sprague School District,7,Yes
4817130,DIME BOX ISD,32,Yes
0102730,Pickens County,206,Yes
0635250,Sanger Unified,255,Yes
0507140,GUY-PERKINS SCHOOL DISTRICT,50,Yes
2102340,Green County,179,Yes
1812150,Wabash City Schools,183,Yes
4838220,ROYSE CITY ISD,373,No
5509630,Lakeland UHS School District,230,Yes
4900131,Merit College Preparatory Academy,78,Yes
0609870,Coronado Unified,183,No
0507920,JESSIEVILLE SCHOOL DISTRICT,69,Yes
4633360,Hill City School District 51-2,18,Yes
3901568,T2 Honors Academy,19,Yes
2623790,Michigan Center School District,90,Yes
4704440,Wayne County,69,Yes
3631380,WHITNEY POINT CENTRAL SCHOOL DISTRICT,43,No
3629880,WAPPINGERS CENTRAL SCHOOL DISTRICT,837,No
1803570,Flat Rock-Hawcreek School Corp,67,Yes
4218630,Penn Manor SD,277,No
1740440,CHSD 94,446,Yes
1300026,Department of Juvenile Justice,50,Yes
4002880,ALVA,61,Yes
3415330,South Orange-Maplewood School District,348,No
1601860,LEWISTON INDEPENDENT DISTRICT,341,No
2502040,Ashburnham-Westminster,233,No
5603310,Hot Springs County School District #1,48,No
3103330,AUBURN PUBLIC SCHOOLS,124,No
0503960,CARLISLE SCHOOL DISTRICT,43,Yes
4704230,Unicoi County,362,No
3901429,Hardin Community School,7,Yes
3621570,OCEANSIDE UNION FREE SCHOOL DISTRICT,505,No
2629790,River Valley School District,36,Yes
3609720,EAST ISLIP UNION FREE SCHOOL DISTRICT,265,Yes
3901451,Focus North High School,8,Yes
1729420,Oblong CUSD 4,38,Yes
4113530,Woodburn SD 103,160,Yes
4017020,DEER CREEK-LAMONT,15,Yes
5509750,Mishicot School District,56,No
0632010,Red Bluff Joint Union High,201,Yes
2705460,BIG LAKE PUBLIC SCHOOL DISTRICT,203,Yes
1600930,BONNEVILLE JOINT DISTRICT,538,No
3631080,WESTPORT CENTRAL SCHOOL DISTRICT,16,Yes
4825200,KAUFMAN ISD,113,Yes
4801455,KAUFFMAN LEADERSHIP ACADEMY,1,No
3808890,HARVEY 38,36,No
5500074,Seeds of Health Inc Agency,122,Yes
4701400,Gibson Co Sp Dist,611,No
2910520,LAKELAND R-III,43,Yes
3175990,RED CLOUD COMMUNITY SCHOOLS,11,No
3629160,TUPPER LAKE CENTRAL SCHOOL DISTRICT,31,Yes
4648780,Montrose School District 43-2,14,Yes
