0610860,Delano Joint Union High,4313,4,Yes
5308280,Sprague School District,81,2,Yes
4817130,DIME BOX ISD,165,1,Yes
0102730,Pickens County,2557,7,Yes
0635250,Sanger Unified,10379,17,Yes
0507140,GUY-PERKINS SCHOOL DISTRICT,388,2,Yes
2102340,Green County,1661,4,Yes
1812150,Wabash City Schools,1539,3,Yes
4838220,ROYSE CITY ISD,1649,1,No
5509630,Lakeland UHS School District,712,1,Yes
0901110,DERBY SCHOOL DISTRICT,41,1,No
0102760,Piedmont City,854,2,Yes
1713260,East Prairie SD 73,517,1,Yes
4900131,Merit College Preparatory Academy,405,1,Yes
4108160,Milton-Freewater Unified SD 7,1220,4,Yes
0609870,Coronado Unified,1211,1,No
3400793,College Achieve Paterson Charter School,302,1,Yes
1919200,Midland Comm School District,230,1,Yes
0507920,JESSIEVILLE SCHOOL DISTRICT,878,3,Yes
0400948,Legacy Traditional School - Glendale,1150,1,Yes
4633360,Hill City School District 51-2,462,3,Yes
3901568,T2 Honors Academy,117,1,Yes
5512720,Rhinelander School District,1126,4,Yes
2623790,Michigan Center School District,1468,3,Yes
2504410,Duxbury,1305,2,Yes
0613170,Evergreen Union,1118,3,Yes
3910030,Celina City,182,2,No
4200891,MaST Community CS II,504,1,Yes
4704440,Wayne County,1721,5,Yes
3631380,WHITNEY POINT CENTRAL SCHOOL DISTRICT,423,1,No
3608310,COPIAGUE UNION FREE SCHOOL DISTRICT,2260,4,Yes
3629880,WAPPINGERS CENTRAL SCHOOL DISTRICT,9904,13,No
2306900,Jonesboro Public Schools,60,1,Yes
1803570,Flat Rock-Hawcreek School Corp,891,2,Yes
5000389,Bridgewater/Pomfret Joint Contract School District,91,1,Yes
4700120,Athens,1741,5,Yes
4200846,York Academy Regional Charter School,675,1,Yes
4218630,Penn Manor SD,2912,5,No
1740440,CHSD 94,2103,1,Yes
1300026,Department of Juvenile Justice,868,26,Yes
5100450,BRISTOL CITY PBLC SCHS,1102,4,Yes
2314700,RSU 60/MSAD 60,764,2,No
0611110,Desert Sands Unified,99,1,NA
4002880,ALVA,1049,5,Yes
3415330,South Orange-Maplewood School District,5160,7,No
1601860,LEWISTON INDEPENDENT DISTRICT,1730,4,No
5504650,Florence County School District,224,1,Yes
2502040,Ashburnham-Westminster,1864,4,No
5603310,Hot Springs County School District #1,408,2,No
3103330,AUBURN PUBLIC SCHOOLS,481,3,No
0503960,CARLISLE SCHOOL DISTRICT,704,2,Yes
4704230,Unicoi County,785,1,No
2700320,DAVINCI ACADEMY,720,1,Yes
3901429,Hardin Community School,69,1,Yes
3621570,OCEANSIDE UNION FREE SCHOOL DISTRICT,4780,8,No
2629790,River Valley School District,617,3,Yes
5305790,North Mason School District,8,1,No
4811460,BROCK ISD,535,1,Yes
3609720,EAST ISLIP UNION FREE SCHOOL DISTRICT,2016,3,Yes
3904475,Shaker Heights City,2238,4,Yes
3304080,Kensington School District,109,1,Yes
3901451,Focus North High School,196,1,Yes
1729420,Oblong CUSD 4,607,2,Yes
0611130,Di Giorgio Elementary,211,1,Yes
4113530,Woodburn SD 103,5475,11,Yes
4017020,DEER CREEK-LAMONT,183,2,Yes
1709170,Central SD 104,469,2,Yes
0901740,GRISWOLD SCHOOL DISTRICT,1216,2,Yes
4110680,Rogue River SD 35,445,1,Yes
5509750,Mishicot School District,238,1,No
0632010,Red Bluff Joint Union High,1538,1,Yes
2705460,BIG LAKE PUBLIC SCHOOL DISTRICT,3049,4,Yes
1600930,BONNEVILLE JOINT DISTRICT,3936,6,No
3905147,Warren County Vocational School,717,1,No
2680480,Hillsdale ISD,73,1,No
3621210,NORTH SYRACUSE CENTRAL SCHOOL DISTRICT,4572,5,No
3631080,WESTPORT CENTRAL SCHOOL DISTRICT,227,1,Yes
3416080,Teaneck School District,2057,5,Yes
4825200,KAUFMAN ISD,3935,7,Yes
4801455,KAUFFMAN LEADERSHIP ACADEMY,91,1,No
3808890,HARVEY 38,198,1,No
5504800,Fox Point J2 School District,820,2,Yes
5500074,Seeds of Health Inc Agency,916,3,Yes
4701400,Gibson Co Sp Dist,3028,4,No
2910520,LAKELAND R-III,389,2,Yes
3411190,Netcong School District,315,1,Yes
3175990,RED CLOUD COMMUNITY SCHOOLS,81,1,No
3629160,TUPPER LAKE CENTRAL SCHOOL DISTRICT,755,2,Yes
4648780,Montrose School District 43-2,249,4,Yes
3022710,Roberts K-12 Schools,128,3,Yes
5400900,MINGO COUNTY SCHOOLS,2575,5,No
2917970,LATHROP R-II,961,3,Yes
2616440,Grand Rapids Public Schools,1805,7,No
0400129,Accelerated Elementary and Secondary Schools,158,1,No
3819290,WASHBURN 4,188,1,Yes
1722130,Red Hill CUSD 10,957,3,Yes
3901581,Village Preparatory School Willard,182,1,Yes
0607970,Central Unified,15902,22,Yes
0607920,Centinela Valley Union High,6311,5,Yes
4701740,Hawkins County,2197,2,No
3100006,WEST POINT PUBLIC SCHOOLS,736,3,Yes
4826340,LA VILLA ISD,579,3,Yes
5509690,Minocqua J1 School District,554,2,Yes
3904742,Arlington Local,306,1,Yes
4815540,CRANE ISD,1158,3,Yes
4109150,Oakridge SD 76,235,2,No
5513230,Saint Croix Falls School District,798,3,Yes
0901410,EASTON SCHOOL DISTRICT,905,2,Yes
3400730,Newark Educators Community Charter School,295,1,Yes
3173590,MEAD PUBLIC SCHOOLS,133,1,Yes
2012600,Victoria,286,2,Yes
4200074,Philadelphia Performing Arts CS,2430,1,Yes
